,cohesion,syntax,vocabulary,phraseology,grammar,conventions,avg_val
rmse,0.507444545494596,0.4450057437602146,0.42044376160828506,0.44050988034745375,0.4642486111858986,0.4420656725734746,0.4532863691616538
pcc,0.6622986662086348,0.7188004585468344,0.6994378330185421,0.7271950278294448,0.7435889339964272,0.7455152902650819,0.7161393683108276
scc,0.6279107909180975,0.6882971324563777,0.6687445181570734,0.7063501820265268,0.7316748979473635,0.724201222516027,0.691196457336911
qwk,0.6241242960505142,0.6843287450325404,0.6667202508297974,0.6930730530104712,0.7223764231666785,0.7108345585417348,0.6835762211052895
